"gid"|"categoria"|"nome"|"citta"|"indirizzo"|"numero"|"cap"|"fonte"|"note"|"pubblicabile"|"verificato"|"datains"|"utenins"|"datamod"|"utenmod"|"dataver"|"utenver"|"geom"|"distanza_minima"|"comune_ist"|"comune_nom"
"11052"|"slot"|"EA190048084A"|"TORINO (TO)"|"VIA C. CAPELLI 35/B, TORINO (TO)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F0000A61A5B4D32F41741D23883D78C0B5341"|"500"|"001272"|"TORINO"
"11053"|"slot"|"EA190039534R"|"TORINO (TO)"|"VIA BALTIMORA 146/B, TORINO (TO)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F000038DE73374DF31741AC56CA5139085341"|"500"|"001272"|"TORINO"
"11054"|"slot"|"EA190123810D"|"TORINO (TO)"|"STRADA CASTELLO DI MIRAFIORI 107, TORINO (TO)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F0000249788E366F21741F615E05F45045341"|"500"|"001272"|"TORINO"
"12966"|"slot"|"EA010184598J"|"MOSSO (BI)"|"VIA ROMA 25, MOSSO (BI)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F0000429E7D62CF671A41094B01E69E485341"|"300"|"096084"|"Mosso"
"12972"|"slot"|"EA670009417A"|"BENNA (BI)"|"VIA ROMA 2, BENNA (BI)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F000061C145FC48591A415CF25AC4133A5341"|"300"|"096003"|"Benna"
"12856"|"slot"|"EA680042417R"|"ALBA (CN)"|"CORSO NINO BIXIO 2, ALBA (CN)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F00000DBE615F20E01941CCD08F0921E25241"|"500"|"004003"|"Alba"
"11055"|"slot"|"EA190005023R"|"TORINO (TO)"|"VIA CAPELLI 36, TORINO (TO)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F00004BCC7FC989F41741DAEAEE468A0B5341"|"500"|"001272"|"TORINO"
"11056"|"slot"|"EA190010185D"|"TORINO (TO)"|"VIALE DEI MUGHETTI 9/C, TORINO (TO)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F000034D97948ADF417415BC05DF73D0E5341"|"500"|"001272"|"TORINO"
"11057"|"slot"|"EA190077872P"|"TORINO (TO)"|"STRADA CASTELLO DI MIRAFIORI 103, TORINO (TO)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F00000F471D16FDF11741E0C1AE0A47045341"|"500"|"001272"|"TORINO"
"11058"|"slot"|"EA190073191A"|"TORINO (TO)"|"STRADA CASTELLO DI MIRAFIORI 105, TORINO (TO)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F00006CAF217723F217410A3AE5E347045341"|"500"|"001272"|"TORINO"
"11059"|"slot"|"EA190036071A"|"SAN MAURIZIO CANAVESE (TO)"|"VIA FATEBENEFRATELLI 17/B, SAN MAURIZIO CANAVESE (TO)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F0000363B567A35F81741BFB30359751A5341"|"500"|"001248"|"San Maurizio Canavese"
