"gid"|"geom"|"categoria"|"nome"|"citta"|"indirizzo"|"numero"|"cap"|"fonte"|"note"|"pubblicabile"|"verificato"|"datains"|"utenins"|"datamod"|"utenmod"|"dataver"|"utenver"|"distanza_minima"|"comune_ist"|"comune_nom"
"295"|"0101000020787F000096087343B4C219412EDCF1C69DE35241"|"Banche-ATM"|""|"Alba"|"CORSO CANALE, 66 ALBA"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"500"|"004003"|"Alba"
"5375"|"0101000020787F000009823E6F748E1A413764F46268D15241"|"Poste"|""|"Bergolo"|"VIA ROMA 18, BERGOLO, ITALIA"|""|""|"http://www.blia.it/utili/abicab/elencoposte.php"|""|"S"|"S"|""|""|""|""|""|""|"300"|"004021"|"Bergolo"
"2180"|"0101000020787F00003A538E1F12771D41637E7518C02E5341"|"Banche-ATM"|""|"Cerano"|"VIA A. DI DIO, 15/A CERANO"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"500"|"003049"|"Cerano"
"2186"|"0101000020787F000021CF5CDC1F771D41EC80CF72AD2E5341"|"Banche-ATM"|""|"Cerano"|"PIAZZA LIBERTA', 13 CERANO"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"500"|"003049"|"Cerano"
"5625"|"0101000020787F00001AA4485EE67A1D414121ADC8AF2E5341"|"Poste"|""|"Cerano"|"IV NOVEMBRE 64 (VIA), CERANO, ITALIA"|""|""|"http://www.blia.it/utili/abicab/elencoposte.php"|""|"S"|"S"|""|""|""|""|""|""|"500"|"003049"|"Cerano"
"9454"|"0101000020787F00002B5C8FC2387E1D412D3B0A77C92E5341"|"Scuola"|"Scuola - Sec. 1 Gr."|"Cerano"|"_"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"003049"|"Cerano"
"202"|"0101000020787F0000A7F8CF21E58B18416B00A0E73DBC5241"|"Banche-ATM"|""|"Villanova Mondovi'"|"LARGO ANNUNZIATA, 27 VILLANOVA MONDOVI'"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"500"|"004245"|"Villanova Mondovi'"
"203"|"0101000020787F0000CB97762DE08C184176F126963DBC5241"|"Banche-ATM"|""|"Villanova Mondovi'"|"VIA MONDOVI, 4/B VILLANOVA MONDOVI'"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"500"|"004245"|"Villanova Mondovi'"
"204"|"0101000020787F0000DEEE6B63D37F1841E8B22991E7BB5241"|"Banche-ATM"|""|"Villanova Mondovi'"|"VIA ROMA, 33/A VILLANOVA MONDOVI'"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"500"|"004245"|"Villanova Mondovi'"
"208"|"0101000020787F00006E3D32A6AD831841CBD4D09FE2BB5241"|"Banche-ATM"|""|"Villanova Mondovi'"|"CORSO MARCONI, 16 VILLANOVA MONDOVI'"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"500"|"004245"|"Villanova Mondovi'"
"209"|"0101000020787F00001404CFB64A82184111329218D4BB5241"|"Banche-ATM"|""|"Villanova Mondovi'"|"CORSO MARCONI, 2 VILLANOVA MONDOVI'"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"500"|"004245"|"Villanova Mondovi'"
"1495"|"0101000020787F000054ECD441C0801841E83C105FCBBB5241"|"Banche-ATM"|""|"Frabosa Soprana"|"PIAZZA MARCONI, 1 FRABOSA SOPRANA"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"500"|"004245"|"Villanova Mondovi'"
"5713"|"0101000020787F0000BCB77A4F32841841C7D2A64EE8BB5241"|"Poste"|""|"Villanova Mondovi'"|"MARCONI 21 (VIA), VILLANOVA MONDOVI', ITALIA"|""|""|"http://www.blia.it/utili/abicab/elencoposte.php"|""|"S"|"S"|""|""|""|""|""|""|"500"|"004245"|"Villanova Mondovi'"
"5805"|"0101000020787F00002F2E99E45A8D184135ED9CA819BC5241"|"Poste"|""|"Villanova Mondovi'"|"PROVINCIALE 13 (VIA), FRABOSA SOTTANA, ITALIA"|""|""|"http://www.blia.it/utili/abicab/elencoposte.php"|""|"S"|"S"|""|""|""|""|""|""|"500"|"004245"|"Villanova Mondovi'"
"6374"|"0101000020787F0000C8F157BB8F741841398B627302BC5241"|"Poste"|""|"Villanova Mondovi'"|"VILLANOVA MONDOVI 3 (VIA), PIANFEI, ITALIA"|""|""|"http://www.blia.it/utili/abicab/elencoposte.php"|""|"S"|"S"|""|""|""|""|""|""|"500"|"004245"|"Villanova Mondovi'"
"8561"|"0101000020787F0000AC6E3D0ABC711841C4D4A3005DBC5241"|"Scuola"|"Scuola - Primaria"|"Villanova Mondovi`"|"Fraz. Branzola"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"004245"|"Villanova Mondovi'"
"9538"|"0101000020787F000028FEFFFFB3851841BAFDFF3F06BC5241"|"Scuola"|"Scuola - Infanzia-primaria-sec. 1 Gr."|"Villanova Mondovi`"|"Corso Marconi, 37"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"004245"|"Villanova Mondovi'"
"10259"|"0101000020787F0000CA6E3D0A08851841C4D4A30004BC5241"|"Scuola"|"Scuola - Infanzia"|"Villanova Mondovi`"|"Corso Marconi, 37"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"004245"|"Villanova Mondovi'"
"10518"|"0101000020787F0000A212AE47CC84184148C0F5D85CBC5241"|"Scuola"|"Scuola - Primaria"|"Villanova Mondovi`"|""|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"004245"|"Villanova Mondovi'"
"2121"|"0101000020787F00000A8530898308184154A39E9826165341"|"Banche-ATM"|""|"Caselle Torinese"|"VIA TORINO, 47 ANG. VIA MAZZINI CASELLE TORINESE"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001063"|"Caselle Torinese"
"2123"|"0101000020787F0000A75DA3ABA1021841550802EDD7175341"|"Banche-ATM"|""|"Caselle Torinese"|"AEROPORTO CASELLE T.SE STRADA SAN MAURIZIO 12 CASELLE TORINESE"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001063"|"Caselle Torinese"
"2125"|"0101000020787F00007BB8757AD2061841406ECC0C82165341"|"Banche-ATM"|""|"Caselle Torinese"|"VIA C. CRAVERO, 68/70 CASELLE TORINESE"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001063"|"Caselle Torinese"
"2126"|"0101000020787F00009CF65B20F80818416435398B0B165341"|"Banche-ATM"|""|"Caselle Torinese"|"VIA TORINO, 106 CASELLE TORINESE"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001063"|"Caselle Torinese"
"5568"|"0101000020787F0000A0093CF3E708184168A6E15A60165341"|"Poste"|""|"Caselle Torinese"|"VIA GIBELLINI 19, CASELLE TORINESE, ITALIA"|""|""|"http://www.blia.it/utili/abicab/elencoposte.php"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001063"|"Caselle Torinese"
"8423"|"0101000020787F0000C86D3D0AD4FE1741BCD4A3C00E165341"|"Scuola"|"Scuola - Infanzia"|"Caselle Torinese"|"Strada Salga, 3"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001063"|"Caselle Torinese"
"8832"|"0101000020787F0000FAA0703D3CFE174176F3280C3E165341"|"Scuola"|"Scuola - Primaria"|"Caselle Torinese"|"Viale Alcide Bona 33"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001063"|"Caselle Torinese"
"10102"|"0101000020787F0000543033334CFE1741E53033E338165341"|"Scuola"|"Scuola - Infanzia-primaria"|"Caselle Torinese"|"Viale Alcide Bona 33"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001063"|"Caselle Torinese"
"10108"|"0101000020787F000067303333C706184176F3288C35165341"|"Scuola"|"Scuola - Primaria"|"Caselle Torinese"|"Via Guibert 3"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001063"|"Caselle Torinese"
"10109"|"0101000020787F000010B025D82C0B18411B64151216165341"|"Scuola"|"Scuola - Sec. 1 Gr."|"Caselle Torinese"|"Piazza  Resistenza 1"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001063"|"Caselle Torinese"
"10129"|"0101000020787F00005130333396FC1741E630335305165341"|"Scuola"|"Scuola - Sec. 1 Gr."|"Caselle Torinese"|"Strada Salga 14"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001063"|"Caselle Torinese"
"10874"|"0101000020787F0000D26D3D0A18041841BDD4A340F6175341"|"Scuola"|"Scuola - Sec. 2 Gr."|"Caselle Torinese"|"Strada San Maurizio, 12"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001063"|"Caselle Torinese"
"11058"|"0101000020787F0000D86D3D0AF8061841BDD4A3C03C165341"|"Scuola"|"Scuola - Infanzia"|"Caselle Torinese"|"Piazza Boschiassi 5"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001063"|"Caselle Torinese"
"806"|"0101000020787F000092F1515107F71841A37EE57616165341"|"Banche-ATM"|""|"Brandizzo"|"VIA TORINO, 170 BRANDIZZO"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001034"|"Brandizzo"
"807"|"0101000020787F0000FDA8F9288EF51841B8E4217819165341"|"Banche-ATM"|""|"Brandizzo"|"VIA TORINO, 196 BRANDIZZO"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001034"|"Brandizzo"
"2001"|"0101000020787F0000680EB1125CF81841ECD7FFDB1A165341"|"Banche-ATM"|""|"Brandizzo"|"VIA TORINO, 138 BRANDIZZO"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001034"|"Brandizzo"
"2002"|"0101000020787F0000326DBD9B3DF418416856F4B219165341"|"Banche-ATM"|""|"Brandizzo"|"VIA TORINO, 218 BRANDIZZO"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001034"|"Brandizzo"
"5433"|"0101000020787F0000321D2AB106F61841198ACAB118165341"|"Poste"|""|"Brandizzo"|"VIA TORINO 188, BRANDIZZO, ITALIA"|""|""|"http://www.blia.it/utili/abicab/elencoposte.php"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001034"|"Brandizzo"
